station,month,total
บางซื่อ,Jan_60,407394
บางซื่อ,Feb_60,393804
บางซื่อ,Mar_60,459304
บางซื่อ,Apr_60,387952
บางซื่อ,May_60,429761
บางซื่อ,Jun_60,463511
บางซื่อ,Jul_60,456940
บางซื่อ,Aug_60,302773
บางซื่อ,Sep_60,164614
บางซื่อ,Oct_60,148332
บางซื่อ,Nov_60,152166
บางซื่อ,Dec_60,134171
กำแพงเพชร,Jan_60,127461
กำแพงเพชร,Feb_60,126835
กำแพงเพชร,Mar_60,132333
กำแพงเพชร,Apr_60,128775
กำแพงเพชร,May_60,107238
กำแพงเพชร,Jun_60,121473
กำแพงเพชร,Jul_60,134978
กำแพงเพชร,Aug_60,132479
กำแพงเพชร,Sep_60,132701
กำแพงเพชร,Oct_60,132985
กำแพงเพชร,Nov_60,130121
กำแพงเพชร,Dec_60,148047
สวนจตุจักร,Jan_60,568661
สวนจตุจักร,Feb_60,552833
สวนจตุจักร,Mar_60,641153
สวนจตุจักร,Apr_60,561960
สวนจตุจักร,May_60,813812
สวนจตุจักร,Jun_60,603928
สวนจตุจักร,Jul_60,602430
สวนจตุจักร,Aug_60,665525
สวนจตุจักร,Sep_60,682854
สวนจตุจักร,Oct_60,653416
สวนจตุจักร,Nov_60,699916
สวนจตุจักร,Dec_60,658539
พหลโยธิน,Jan_60,522046
พหลโยธิน,Feb_60,504924
พหลโยธิน,Mar_60,574090
พหลโยธิน,Apr_60,502383
พหลโยธิน,May_60,738360
พหลโยธิน,Jun_60,555900
พหลโยธิน,Jul_60,552151
พหลโยธิน,Aug_60,578694
พหลโยธิน,Sep_60,563703
พหลโยธิน,Oct_60,523164
พหลโยธิน,Nov_60,560998
พหลโยธิน,Dec_60,537489
ลาดพร้าว,Jan_60,514137
ลาดพร้าว,Feb_60,494548
ลาดพร้าว,Mar_60,567285
ลาดพร้าว,Apr_60,471926
ลาดพร้าว,May_60,797474
ลาดพร้าว,Jun_60,552532
ลาดพร้าว,Jul_60,536918
ลาดพร้าว,Aug_60,584035
ลาดพร้าว,Sep_60,568071
ลาดพร้าว,Oct_60,531724
ลาดพร้าว,Nov_60,571873
ลาดพร้าว,Dec_60,498594
รัชดาภิเษก,Jan_60,147377
รัชดาภิเษก,Feb_60,142665
รัชดาภิเษก,Mar_60,165562
รัชดาภิเษก,Apr_60,131795
รัชดาภิเษก,May_60,235920
รัชดาภิเษก,Jun_60,163650
รัชดาภิเษก,Jul_60,155744
รัชดาภิเษก,Aug_60,169890
รัชดาภิเษก,Sep_60,161063
รัชดาภิเษก,Oct_60,145557
รัชดาภิเษก,Nov_60,161478
รัชดาภิเษก,Dec_60,140948
สุทธิสาร,Jan_60,382200
สุทธิสาร,Feb_60,370355
สุทธิสาร,Mar_60,417631
สุทธิสาร,Apr_60,335416
สุทธิสาร,May_60,613388
สุทธิสาร,Jun_60,410597
สุทธิสาร,Jul_60,392239
สุทธิสาร,Aug_60,416081
สุทธิสาร,Sep_60,400860
สุทธิสาร,Oct_60,366390
สุทธิสาร,Nov_60,406525
สุทธิสาร,Dec_60,362635
ห้วยขวาง,Jan_60,529279
ห้วยขวาง,Feb_60,513750
ห้วยขวาง,Mar_60,579216
ห้วยขวาง,Apr_60,478380
ห้วยขวาง,May_60,779170
ห้วยขวาง,Jun_60,550502
ห้วยขวาง,Jul_60,539561
ห้วยขวาง,Aug_60,577043
ห้วยขวาง,Sep_60,552637
ห้วยขวาง,Oct_60,501724
ห้วยขวาง,Nov_60,557800
ห้วยขวาง,Dec_60,501013
ศูนย์วัฒนธรรมแห่งประเทศไทย,Jan_60,576084
ศูนย์วัฒนธรรมแห่งประเทศไทย,Feb_60,560368
ศูนย์วัฒนธรรมแห่งประเทศไทย,Mar_60,648184
ศูนย์วัฒนธรรมแห่งประเทศไทย,Apr_60,538940
ศูนย์วัฒนธรรมแห่งประเทศไทย,May_60,881666
ศูนย์วัฒนธรรมแห่งประเทศไทย,Jun_60,643961
ศูนย์วัฒนธรรมแห่งประเทศไทย,Jul_60,614968
ศูนย์วัฒนธรรมแห่งประเทศไทย,Aug_60,668594
ศูนย์วัฒนธรรมแห่งประเทศไทย,Sep_60,655485
ศูนย์วัฒนธรรมแห่งประเทศไทย,Oct_60,592582
ศูนย์วัฒนธรรมแห่งประเทศไทย,Nov_60,657355
ศูนย์วัฒนธรรมแห่งประเทศไทย,Dec_60,650060
พระราม 9,Jan_60,761330
พระราม 9,Feb_60,742701
พระราม 9,Mar_60,861486
พระราม 9,Apr_60,727820
พระราม 9,May_60,1193982
พระราม 9,Jun_60,838155
พระราม 9,Jul_60,808395
พระราม 9,Aug_60,858292
พระราม 9,Sep_60,824146
พระราม 9,Oct_60,764145
พระราม 9,Nov_60,832048
พระราม 9,Dec_60,780612
เพชรบุรี,Jan_60,625019
เพชรบุรี,Feb_60,622913
เพชรบุรี,Mar_60,703533
เพชรบุรี,Apr_60,568002
เพชรบุรี,May_60,974954
เพชรบุรี,Jun_60,648110
เพชรบุรี,Jul_60,631009
เพชรบุรี,Aug_60,714151
เพชรบุรี,Sep_60,696976
เพชรบุรี,Oct_60,619821
เพชรบุรี,Nov_60,725422
เพชรบุรี,Dec_60,604196
สุขุมวิท,Jan_60,1177911
สุขุมวิท,Feb_60,1172343
สุขุมวิท,Mar_60,1337877
สุขุมวิท,Apr_60,1108561
สุขุมวิท,May_60,1789126
สุขุมวิท,Jun_60,1280862
สุขุมวิท,Jul_60,1220291
สุขุมวิท,Aug_60,1323064
สุขุมวิท,Sep_60,1269907
สุขุมวิท,Oct_60,1181109
สุขุมวิท,Nov_60,1280328
สุขุมวิท,Dec_60,1202684
ศูนย์การประชุมแห่งชาติสิริกิติ์,Jan_60,272170
ศูนย์การประชุมแห่งชาติสิริกิติ์,Feb_60,420653
ศูนย์การประชุมแห่งชาติสิริกิติ์,Mar_60,470661
ศูนย์การประชุมแห่งชาติสิริกิติ์,Apr_60,464945
ศูนย์การประชุมแห่งชาติสิริกิติ์,May_60,513012
ศูนย์การประชุมแห่งชาติสิริกิติ์,Jun_60,418729
ศูนย์การประชุมแห่งชาติสิริกิติ์,Jul_60,332996
ศูนย์การประชุมแห่งชาติสิริกิติ์,Aug_60,414773
ศูนย์การประชุมแห่งชาติสิริกิติ์,Sep_60,413821
ศูนย์การประชุมแห่งชาติสิริกิติ์,Oct_60,507732
ศูนย์การประชุมแห่งชาติสิริกิติ์,Nov_60,364982
ศูนย์การประชุมแห่งชาติสิริกิติ์,Dec_60,279723
คลองเตย,Jan_60,69947
คลองเตย,Feb_60,70363
คลองเตย,Mar_60,79125
คลองเตย,Apr_60,63034
คลองเตย,May_60,112320
คลองเตย,Jun_60,74233
คลองเตย,Jul_60,70292
คลองเตย,Aug_60,78977
คลองเตย,Sep_60,75271
คลองเตย,Oct_60,67466
คลองเตย,Nov_60,75993
คลองเตย,Dec_60,69331
ลุมพินี,Jan_60,348201
ลุมพินี,Feb_60,329321
ลุมพินี,Mar_60,379223
ลุมพินี,Apr_60,290454
ลุมพินี,May_60,556312
ลุมพินี,Jun_60,361466
ลุมพินี,Jul_60,333586
ลุมพินี,Aug_60,374945
ลุมพินี,Sep_60,355790
ลุมพินี,Oct_60,311605
ลุมพินี,Nov_60,366143
ลุมพินี,Dec_60,313324
สีลม,Jan_60,653559
สีลม,Feb_60,619227
สีลม,Mar_60,701959
สีลม,Apr_60,584165
สีลม,May_60,967648
สีลม,Jun_60,657801
สีลม,Jul_60,620683
สีลม,Aug_60,699040
สีลม,Sep_60,671964
สีลม,Oct_60,602609
สีลม,Nov_60,674461
สีลม,Dec_60,594151
สามย่าน,Jan_60,313410
สามย่าน,Feb_60,307130
สามย่าน,Mar_60,368727
สามย่าน,Apr_60,282818
สามย่าน,May_60,451870
สามย่าน,Jun_60,307426
สามย่าน,Jul_60,303250
สามย่าน,Aug_60,349117
สามย่าน,Sep_60,381100
สามย่าน,Oct_60,322072
สามย่าน,Nov_60,347470
สามย่าน,Dec_60,271622
หัวลำโพง,Jan_60,484775
หัวลำโพง,Feb_60,452491
หัวลำโพง,Mar_60,473740
หัวลำโพง,Apr_60,409203
หัวลำโพง,May_60,580946
หัวลำโพง,Jun_60,424202
หัวลำโพง,Jul_60,436779
หัวลำโพง,Aug_60,471327
หัวลำโพง,Sep_60,443477
หัวลำโพง,Oct_60,450850
หัวลำโพง,Nov_60,485565
หัวลำโพง,Dec_60,458129
